scope,page_number,metric,cluster_id,position_mean,position_min,position_max,position_range,x0_min,x1_max,token_count,page_count,sample_pages,sample_texts
sample_page,369,x_center,26,382.43072000000006,382.43072,382.43072,0.0,374.33,390.53144000000003,44,1,369,78.25|78.65|79.05|79.45|79.85|80.25|80.65|81.05
sample_page,369,x_center,27,386.65268000000003,386.65268000000003,386.65268000000003,0.0,381.77,391.53536,1,1,369,368
sample_page,369,x_center,28,393.95340000000004,391.97936,395.59832,3.6189600000000155,373.97,414.59504000000004,3,1,369,MONTHLY|POTONGAN|of
sample_page,369,x_center,29,404.531,404.531,404.531,0.0,399.64832,409.41368,1,1,369,732
sample_page,369,x_center,30,408.64612,408.63344,408.65880000000004,0.025360000000034688,400.01,417.25688,2,1,369,KA20|RM
sample_page,369,x_center,31,414.83072,414.83072000000004,414.83072000000004,0.0,406.73,422.93144000000007,44,1,369,64.95|65.35|65.75|66.15|66.55|66.95|67.35|67.75
sample_page,369,x_center,32,418.00544,418.00544,418.00544,0.0,411.14492,424.86596,1,1,369,TAX
sample_page,369,x_center,33,427.73198,427.73198,427.73198,0.0,416.55620000000005,438.90776,1,1,369,CUKAI
sample_page,369,x_center,34,441.06612,441.05344,441.0788,0.025359999999977845,432.43,449.67688000000004,2,1,369,KA11|RM
sample_page,369,x_center,35,445.45072000000005,445.45072000000005,445.45072000000005,0.0,435.55,455.35144,44,1,369,257.80|258.50|259.20|259.90|260.60|261.30|262.00|262.70
sample_page,369,x_center,36,450.20528,450.20528,450.20528,0.0,426.74216,473.66839999999996,1,1,369,DEDUCTIONS
sample_page,369,x_center,37,458.14412000000004,458.14412000000004,458.14412000000004,0.0,440.77688,475.51136,1,1,369,BULANAN
sample_page,369,x_center,38,473.46612,473.45344,473.4788,0.025359999999977845,464.83,482.07688,2,1,369,KA12|RM
sample_page,369,x_center,39,477.85072,477.85072,477.85072,0.0,467.95,487.75144,44,1,369,234.45|235.15|235.85|236.55|237.25|237.95|238.65|239.35
sample_page,369,x_center,40,505.86612,505.85344000000003,505.87880000000007,0.025360000000034688,497.23,514.47688,2,1,369,KA13|RM
sample_page,369,x_center,41,510.25072000000006,510.25072000000006,510.25072000000006,0.0,500.35,520.1514400000001,44,1,369,211.15|211.85|212.55|213.25|213.95|214.65|215.35|216.05
sample_page,369,x_center,42,538.26612,538.25344,538.2788,0.02536000000009153,529.63,546.8768799999999,2,1,369,KA14|RM
sample_page,369,x_center,43,542.6507200000001,542.6507200000001,542.6507200000001,0.0,532.75,552.5514400000001,44,1,369,187.80|188.50|189.20|189.90|190.60|191.30|192.00|192.70
sample_page,369,x_center,44,547.7813199999999,547.7813199999999,547.7813199999999,0.0,537.31,558.2526399999999,1,1,369,Where
sample_page,369,x_center,45,552.8282200000001,552.8282200000001,552.8282200000001,0.0,545.95,559.70644,1,1,369,Jika
sample_page,369,x_center,46,570.6661199999999,570.6534399999999,570.6787999999999,0.025359999999977845,562.03,579.2768799999999,2,1,369,KA15|RM
sample_page,369,x_center,47,575.05072,575.05072,575.05072,0.0,565.15,584.95144,44,1,369,164.45|165.15|165.85|166.55|167.25|167.95|168.65|169.35
sample_page,369,x_center,48,582.345595,580.96174,583.88134,2.9196000000000595,560.18548,601.7379999999999,4,1,369,wife/husband|isteri/suami|Category|Kategori
sample_page,369,x_center,49,602.48255,601.615,603.1088,1.4937999999999647,594.46,611.70688,4,1,369,3|KA16|RM
sample_page,369,x_center,50,607.4528533333333,606.2267199999999,607.48072,1.2540000000001328,597.58,617.3814400000001,45,1,369,is|144.95|145.35|145.75|146.15|146.55|146.95|147.35
sample_page,369,x_center,51,615.1605400000001,615.1605400000001,615.1605400000001,0.0,602.7599200000001,627.56116,1,1,369,bekerja
sample_page,369,x_center,52,622.8930399999999,622.8930399999999,622.8930399999999,0.0,610.74376,635.0423199999999,1,1,369,working
sample_page,369,x_center,53,635.49612,635.48344,635.5088000000001,0.02536000000009153,626.86,644.1068799999999,2,1,369,KA17|RM
sample_page,369,x_center,54,639.8807200000001,639.8807200000001,639.8807200000001,0.0,629.98,649.7814400000001,44,1,369,131.60|132.00|132.40|132.80|133.20|133.60|134.00|134.40
sample_page,369,x_center,55,667.8961199999999,667.88344,667.9087999999999,0.025359999999977845,659.26,676.5068799999999,2,1,369,KA18|RM
sample_page,369,x_center,56,672.28072,672.28072,672.28072,0.0,662.38,682.1814400000001,44,1,369,118.25|118.65|119.05|119.45|119.85|120.25|120.65|121.05
sample_page,369,x_center,57,700.29612,700.2834399999999,700.3088,0.02536000000009153,691.66,708.9068799999999,2,1,369,KA19|RM
sample_page,369,x_center,58,704.6807200000001,704.6807200000001,704.6807200000001,0.0,694.78,714.58144,44,1,369,104.95|105.35|105.75|106.15|106.55|106.95|107.35|107.75
sample_page,369,x_center,59,732.6961199999998,732.6834399999999,732.7087999999999,0.025359999999977845,724.06,741.3068799999999,2,1,369,KA20|RM
sample_page,369,x_center,60,737.9398109090909,737.0807199999999,738.88072,1.8000000000000682,727.18,746.98144,44,1,369,100.00|100.40|100.80|101.20|101.60|102.00|102.40|102.80
sample_page,370,x_center,1,58.35717333333333,58.321439999999996,59.92944,1.608000000000004,48.12,71.73888,45,1,370,7736|7741|7746|7751|7756|7761|7766|7771
sample_page,370,x_center,2,64.88274000000001,64.88274000000001,64.88274000000001,0.0,52.56,77.20548000000001,1,1,370,Monthly
sample_page,370,x_center,3,71.97103551020408,71.34234,72.00880000000001,0.6664600000000149,49.08,93.63444,49,1,370,Total|Remuneration|Bulanan|Jumlah|-|RM
sample_page,370,x_center,4,84.69216,84.68112,84.70320000000001,0.022080000000002542,73.65048,95.71176000000001,2,1,370,Bersih|Net
sample_page,370,x_center,5,91.70544000000001,91.70544000000001,91.70544000000001,0.0,84.504,98.90688,44,1,370,7740|7745|7750|7755|7760|7765|7770|7775
sample_page,370,x_center,6,117.01612,117.00344,117.02879999999999,0.025359999999992056,108.38,125.62688,2,1,370,KA11|RM
sample_page,370,x_center,7,121.40072,121.40072,121.40072,0.0,111.5,131.30144,44,1,370,241.95|242.65|243.35|244.05|244.75|245.45|246.15|246.85
sample_page,370,x_center,8,149.41612,149.40344,149.42880000000002,0.025360000000034688,140.78,158.02687999999998,2,1,370,KA12|RM
sample_page,370,x_center,9,153.80072,153.80072,153.80072,0.0,143.9,163.70144000000002,44,1,370,218.60|219.30|220.00|220.70|221.40|222.10|222.80|223.50
sample_page,370,x_center,10,181.81612,181.80344000000002,181.8288,0.025359999999977845,173.18,190.42688,2,1,370,KA13|RM
sample_page,370,x_center,11,186.20072000000002,186.20072000000002,186.20072000000002,0.0,176.3,196.10144000000003,44,1,370,195.25|195.95|196.65|197.35|198.05|198.75|199.45|200.15
sample_page,370,x_center,12,214.21612,214.20344,214.22879999999998,0.025359999999977845,205.58,222.82688,2,1,370,KA14|RM
sample_page,370,x_center,13,218.60480913043477,217.85132,219.53822,1.6869000000000085,207.38,228.50144,46,1,370,Where|171.95|172.65|173.35|174.05|174.75|175.45|176.15
sample_page,370,x_center,14,247.0690933333333,246.60343999999998,247.97503999999998,1.3716000000000008,228.34928,267.6008,3,1,370,KA15|RM|isteri/suami
sample_page,370,x_center,15,251.00140933333336,251.00072,251.03174,0.03102000000001226,230.25548,271.808,45,1,370,149.20|149.60|150.00|150.70|151.40|152.10|152.80|153.50
sample_page,370,x_center,16,259.52779999999996,259.22426,259.83133999999995,0.6070799999999394,244.82,274.24267999999995,2,1,370,Category|Kategori
sample_page,370,x_center,17,277.95868666666667,276.29672,279.0588,2.762080000000026,269.46992,287.65688000000006,6,1,370,is|2|tidak|KA16|RM
sample_page,370,x_center,18,283.48222666666663,283.43071999999995,285.74852,2.317800000000034,273.53,293.33144,45,1,370,135.85|136.25|136.65|137.05|137.45|137.85|138.25|138.65
sample_page,370,x_center,19,300.33518000000004,300.33518000000004,300.33518000000004,0.0,287.93456000000003,312.73580000000004,1,1,370,bekerja
sample_page,370,x_center,20,304.70168,304.70168,304.70168,0.0,292.5524,316.85096000000004,1,1,370,working
sample_page,370,x_center,21,311.44612,311.43344,311.4588,0.025359999999977845,302.81,320.05688000000004,2,1,370,KA17|RM
sample_page,370,x_center,22,315.83072000000004,315.83072000000004,315.83072000000004,0.0,305.93,325.73144,44,1,370,122.55|122.95|123.35|123.75|124.15|124.55|124.95|125.35
sample_page,370,x_center,23,343.84612,343.83344,343.8588,0.025359999999977845,335.21,352.45688,2,1,370,KA18|RM
sample_page,370,x_center,24,348.23072,348.23072,348.23072,0.0,338.33,358.13144,44,1,370,109.20|109.60|110.00|110.40|110.80|111.20|111.60|112.00
sample_page,370,x_center,25,376.24612,376.23344000000003,376.25880000000006,0.025360000000034688,367.61,384.85688000000005,2,1,370,KA19|RM
sample_page,370,x_center,26,381.08072,380.63072,382.43072,1.8000000000000114,370.73,390.53144000000003,44,1,370,100.25|100.65|101.05|101.45|101.85|102.25|102.65|103.05
sample_page,370,x_center,27,386.65268000000003,386.65268000000003,386.65268000000003,0.0,381.77,391.53536,1,1,370,369
sample_page,370,x_center,28,393.95340000000004,391.97936,395.59832,3.6189600000000155,373.97,414.59504000000004,3,1,370,MONTHLY|POTONGAN|of
sample_page,370,x_center,29,404.531,404.531,404.531,0.0,399.64832,409.41368,1,1,370,732
sample_page,370,x_center,30,408.64612,408.63344,408.65880000000004,0.025360000000034688,400.01,417.25688,2,1,370,KA20|RM
sample_page,370,x_center,31,414.83072,414.83072000000004,414.83072000000004,0.0,406.73,422.93144000000007,44,1,370,82.55|82.95|83.35|83.75|84.15|84.55|84.95|85.35
sample_page,370,x_center,32,418.00544,418.00544,418.00544,0.0,411.14492,424.86596,1,1,370,TAX
sample_page,370,x_center,33,427.73198,427.73198,427.73198,0.0,416.55620000000005,438.90776,1,1,370,CUKAI
sample_page,370,x_center,34,441.06612,441.05344,441.0788,0.025359999999977845,432.43,449.67688000000004,2,1,370,KA11|RM
sample_page,370,x_center,35,445.45072000000005,445.45072000000005,445.45072000000005,0.0,435.55,455.35144,44,1,370,288.60|289.30|290.00|290.70|291.40|292.10|292.80|293.50
