page_number,page_width,page_height,rotation,page_box_signature,is_page_box_or_rotation_outlier,is_sampled,sample_reasons,token_count,x_center_min,x_center_max,y_center_min,y_center_max,extraction_error
80,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
81,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
82,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
83,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
84,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
85,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
86,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
87,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
88,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
89,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
90,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
91,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
92,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
93,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
94,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
95,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
96,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
97,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
98,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
99,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
100,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
101,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
102,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
103,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
104,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
105,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
106,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
107,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
108,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
109,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
110,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
111,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
112,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
113,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
114,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
115,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
116,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
117,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
118,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
119,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
120,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
121,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
122,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
123,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
124,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
125,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
126,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
127,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
128,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
129,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
130,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
131,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
132,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
133,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
134,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
135,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
136,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
137,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
138,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
139,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
140,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
141,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
142,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
143,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
144,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
145,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
146,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
147,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
148,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
149,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
150,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
151,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
152,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
153,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
154,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
155,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
156,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
157,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
158,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
