source_page,template_family,section_code,parsed_grid_rows,canonical_records,populated_records,observed_dash_records,provenance_path
173,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
174,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
175,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
176,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
177,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
178,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
179,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
180,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
181,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
182,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
183,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
184,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
185,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
186,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
187,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
188,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
189,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
190,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
191,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
192,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
193,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
194,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
195,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
196,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
197,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
198,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
199,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
200,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
201,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
